economy,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2010-20S,YR2010-20W,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
PRY,,,,,,,,,,25.1711215142053,34.0021279835214,20.138835613681,22.5707665092776,,,21.2503512713968,22.9220764071168,26.2601921384197,30.3652396375231,24.6311668061221,26.3802737056712,24.4053738584123,77.4219733101243,67.7222447343289,25.9363237815266,
PSE,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,,,,,,,,,,,,,,,,,,39.367742154012,38.1501751957911,40.1371390103865,39.9922256534247,,,,
RWA,,,,,,,,11.023481418413,,,,,2.93664977880379,,,,,5.87953851959511,,,,,,,,
SAS,,,,,,,,,,,,,,10.057822546212,9.19198654046081,,,,,,,,,,,
SDN,,,,,,,,,,,,1.1375085944558,,,,,,,,,,,,,,
SEN,,,,,,,,,,,,,,,,3.62647318316746,,,,,,,9.38589526429033,,,
SLB,,,,,,,,27.3561792761851,,,,,,,,,,,,,,,,,,
SLE,,,,,,,,,,,,,,,,,,,,,,,2.50121781473699,,,
SLV,,,,,,,,,,62.7092094438992,17.8312493727886,12.9134579250313,12.8185241285257,,,14.6800676651753,1.17833501502495,,12.9934429974718,58.9469833863726,30.9682444596145,57.9930780626049,44.3471573238442,29.8264705473434,,
SRB,,,,,,,,,,110.204781642041,,,106.197821212004,,,,,99.9971860369039,,92.4583133222736,,,199.065108752357,,,
SSD,,,,,,,,,,,,4.31079592942021,,,,,,,,,,,,,,
SSF,,,,,,,,,,,,,,30.2894709838275,27.1723047535103,,,,,,,,,,,
STP,,,,,,,,,,,,,,,,,,,,,,6.77494838427016,,,,
SVK,,,,,,,,,,,,78.4506421757582,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,15.4015577435192,,,,,,,,,13.3662362697295,,,,,
SYR,,,,,,66.8165933533182,,,,,,,,,,,,,,,,,,,,
TCD,,,,,,,,,,,,,,,,62.5009709318207,,,,,,,,,,
TGO,,,,,,,,,,,,,,,,30.2304447239682,,,,,,,25.757536706271,,,
THA,,,,,,,,,,,,11.6396863331101,,,,19.0206574806546,,41.5211891593147,,,,13.1292484224915,,14.1702576054903,,
TJK,,,,,,,,,,,,,,,,20.3571971967389,,,,,,,,,,
TLS,,,,,,,,,,1.2986449005001,,,,,,16.7490525362306,,,,,,,,,,
TON,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,,,,,,,,,,,,,,,,,,,,,,,,,,
